category (groups),Average of rating,Average of rating_count,Average of discount_percentage
Computers&Accessories|Tablets,4.6,2886.00,29.00
Electronics|PowerAccessories|SurgeProtectors,4.5,20668.00,14.00
OfficeProducts|OfficeElectronics|Calculators|Basic & ...,4.45,7743.75,1.25
Computers&Accessories|Components|InternalHardDrives & ...,4.380000000000001,25005.00,54.60
Electronics|GeneralPurposeBatteries&BatteryChargers & ...,4.35,13593.00,16.71
Home&Kitchen|CraftMaterials|DrawingMaterials|DrawingMedia|Pencils|WoodenPencils & ...,4.3428571428571425,9030.57,8.43
Electronics|Accessories|MemoryCards|MicroSD & ...,4.335714285714285,84512.64,57.79
Computers&Accessories|ExternalDevices&DataStorage|ExternalHardDisks & ...,4.316666666666666,57611.78,46.89
Toys&Games|Arts&Crafts|Drawing&PaintingSupplies|ColouringPens&Markers,4.3,15867.00,0.00
OfficeProducts|OfficePaperProducts|Paper|Copy&PrintingPaper|ColouredPaper & ...,4.288888888888889,4396.30,14.00
Computers&Accessories|Monitors,4.25,2318.50,50.50
HomeImprovement|Electrical|Adapters&Multi-Outlets & ...,4.25,4283.00,57.50
Computers&Accessories|NetworkingDevices & ...,4.155882352941175,41227.94,47.74
Computers&Accessories|Accessories&Peripherals|Adapters|USBtoUSBAdapters & ...,4.148556430446193,13359.15,55.98
Electronics|Mobiles&Accessories|MobileAccessories|AutomobileAccessories|Cradles & ...,4.127950310559008,27231.04,42.70
Electronics|Cameras&Photography|Accessories|Batteries&Chargers|BatteryChargers & ...,4.124999999999999,20166.06,47.56
Home&Kitchen|Kitchen&Dining|KitchenTools|ManualChoppers&Chippers|Choppers,4.1,270563.00,60.00
"Electronics|HomeTheater,TV&Video|Accessories|3DGlasses & ...",4.075308641975307,17870.43,49.47
Electronics|HomeAudio|Accessories|Adapters & ...,4.0687500000000005,18356.50,49.69
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|CoffeeGrinders|ElectricGrinders & ...",4.0535603399332905,6662.84,40.26
Electronics|WearableTechnology|SmartWatches,4.025,21637.84,69.82
Home&Kitchen|HomeStorage&Organization|LaundryOrganization|IroningAccessories|SprayBottles & ...,4.025,3360.31,46.06
Computers&Accessories|Laptops|TraditionalLaptops,4,323.00,38.00
Health&PersonalCare|HomeMedicalSupplies&Equipment|HealthMonitors|WeighingScales|DigitalBathroomScales,4,3663.00,53.00
"Home&Kitchen|Heating,Cooling&AirQuality|AirConditioners|Split-SystemAirConditioners & ...",3.990517241379311,4753.20,40.68
"Computers&Accessories|Printers,Inks&Accessories|Inks,Toners&Cartridges|InkjetInkCartridges & ...",3.963636363636364,7052.64,21.55
"Electronics|Headphones,Earbuds&Accessories|Adapters & ...",3.9257575757575753,73403.91,59.53
MusicalInstruments|Microphones|Condenser,3.9,44441.00,46.00
Car&Motorbike|CarAccessories|InteriorAccessories|AirPurifiers&Ionizers,3.8,1118.00,42.00
